Time[s], x[px], y[px], phi[deg], delta_left, delta_right, omega_left, omega_right
0.0368129, 273, 263, 6.70986, 0, 0, 0, 0
0.0720953, 273, 263, 6.70986, 0, 0, 0, 0
0.111076, 273, 263, 6.70986, 0, 0, 0, 0
0.135525, 273, 263, 6.70986, 0, 0, 0, 0
0.175702, 273, 262, 8.91496, 0, 0, 0, 0
0.204185, 273, 263, 7.66683, 0, 0, 0, 0
0.234215, 273, 263, 7.81532, 0, 0, 0, 0
0.271528, 273, 263, 7.81532, 0, 0, 0, 0
0.302882, 273, 263, 7.81532, 0, 0, 0, 0
0.337455, 273, 263, 7.81532, 0, 0, 0, 0
0.372584, 273, 263, 7.81532, 0, 0, 0, 0
0.404118, 273, 263, 7.81532, 0, 0, 0, 0
0.435661, 273, 263, 7.81532, 0, 0, 0, 0
0.471927, 273, 263, 7.81532, 0, 0, 0, 0
0.503067, 273, 263, 7.81532, 0, 0, 0, 0
0.535712, 273, 263, 8.91496, 0, 0, 0, 0
0.573109, 273, 263, 8.91496, 0, 0, 0, 0
0.606203, 273, 263, 9.09031, 0, 0, 0, 0
0.639998, 273, 263, 9.09031, 0, 0, 0, 0
0.675937, 273, 263, 8.91496, 0, 0, 0, 0
0.706496, 273, 263, 8.91496, 0, 0, 0, 0
0.738104, 273, 263, 8.91496, 0, 0, 0, 0
0.772187, 272, 263, 8.7462, 0, 0, 0, 0
0.805848, 272, 263, 8.91496, 0, 0, 0, 0
0.841979, 273, 263, 9.09031, 0, 0, 0, 0
0.877449, 272, 263, 8.91496, 0, 0, 0, 0
0.903625, 272, 263, 10.008, 0, 0, 0, 0
0.93687, 272, 263, 10.008, 0, 0, 0, 0
0.974327, 272, 263, 10.008, 0, 0, 0, 0
1.00439, 272, 264, 8.91496, 0, 0, 0, 0
1.03592, 272, 264, 8.91496, 0, 0, 0, 0
1.07395, 272, 264, 8.91496, 0, 0, 0, 0
1.10562, 272, 264, 8.91496, 0, 0, 0, 0
1.1359, 272, 264, 8.91496, 0, 0, 0, 0
1.17785, 272, 264, 8.91496, 0, 0, 0, 0
1.20857, 272, 264, 8.91496, 0, 0, 0, 0
1.23951, 272, 264, 8.91496, 0, 0, 0, 0
1.27644, 272, 264, 8.91496, 0, 0, 0, 0
1.30785, 272, 264, 8.91496, 0, 0, 0, 0
1.33874, 272, 263, 10.008, 0, 0, 0, 0
1.37215, 272, 264, 10.008, 0, 0, 0, 0
1.40241, 272, 263, 11.0938, 0, 0, 0, 0
1.43677, 272, 263, 11.0938, 0, 0, 0, 0
1.4741, 272, 263, 11.0938, 0, 0, 0, 0
1.50405, 272, 263, 11.0938, 0, 0, 0, 0
1.53929, 272, 263, 11.0938, 0, 0, 0, 0
1.57688, 272, 263, 11.0938, 0, 0, 0, 0
1.60941, 272, 263, 11.0938, 0, 0, 0, 0
1.63444, 272, 264, 10.008, 0, 0, 0, 0
1.67019, 272, 264, 10.204, 0, 0, 0, 0
1.70187, 272, 264, 10.204, 0, 0, 0, 0
1.73566, 272, 264, 10.204, 0, 0, 0, 0
1.77051, 272, 264, 10.204, 0, 0, 0, 0
1.80194, 272, 264, 10.204, 0, 0, 0, 0
1.83441, 272, 264, 10.204, 0, 0, 0, 0
1.86963, 272, 264, 11.31, 0, 0, 0, 0
1.90454, 272, 264, 11.31, 0, 0, 0, 0
1.93677, 272, 264, 11.31, 0, 0, 0, 0
1.97252, 272, 264, 11.31, 0, 0, 0, 0
2.00641, 272, 264, 11.31, 0, 0, 0, 0
2.03737, 272, 264, 11.31, 0, 0, 0, 0
2.07812, 272, 264, 11.31, 0, 0, 0, 0
2.10345, 272, 264, 11.31, 0, 0, 0, 0
2.14148, 272, 264, 11.31, 0, 0, 0, 0
2.17608, 272, 264, 11.31, 0, 0, 0, 0
2.20839, 272, 264, 11.31, 0, 0, 0, 0
2.23665, 271, 264, 11.0938, 0, 0, 0, 0
2.27297, 272, 264, 11.31, 0, 0, 0, 0
2.30728, 272, 264, 11.31, 0, 0, 0, 0
2.34209, 271, 265, 10.008, 0, 0, 0, 0
2.37597, 271, 265, 11.0938, 0, 0, 0, 0
2.40475, 271, 265, 11.0938, 0, 0, 0, 0
2.43821, 271, 265, 11.0938, 0, 0, 0, 0
2.47442, 271, 265, 11.0938, 0, 0, 0, 0
2.50404, 271, 265, 11.0938, 0, 0, 0, 0
2.53674, 271, 265, 11.0938, 0, 0, 0, 0
2.57336, 271, 265, 11.0938, 0, 0, 0, 0
2.60377, 271, 265, 11.0938, 0, 0, 0, 0
2.63958, 271, 265, 11.31, 0, 0, 0, 0
2.67487, 271, 265, 11.31, 0, 0, 0, 0
2.70173, 271, 265, 11.31, 0, 0, 0, 0
2.73916, 271, 265, 11.31, 0, 0, 0, 0
2.77423, 271, 265, 11.31, 0, 0, 0, 0
2.80234, 271, 265, 12.4075, 0, 0, 0, 0
2.83598, 271, 265, 12.4075, 0, 0, 0, 0
2.87196, 271, 265, 12.4075, 0, 0, 0, 0
2.90415, 271, 265, 12.1715, 0, 0, 0, 0
2.93974, 271, 265, 12.1715, 0, 0, 0, 0
2.97404, 271, 265, 12.4075, 0, 0, 0, 0
3.00225, 271, 265, 12.4075, 0, 0, 0, 0
3.03864, 271, 265, 12.4075, 0, 0, 0, 0
3.07485, 271, 265, 12.4075, 0, 0, 0, 0
3.10447, 271, 265, 12.4075, 0, 0, 0, 0
3.13613, 271, 265, 12.4075, 0, 0, 0, 0
3.17406, 271, 265, 12.4075, 0, 0, 0, 0
3.20618, 271, 265, 12.4075, 0, 0, 0, 0
3.23833, 271, 265, 12.4075, 0, 0, 0, 0
3.27628, 271, 265, 12.4075, 0, 0, 0, 0
3.30253, 271, 265, 12.4075, 0, 0, 0, 0
3.33827, 271, 265, 12.4075, 0, 0, 0, 0
3.3744, 271, 265, 12.4075, 0, 0, 0, 0
3.40863, 270, 265, 12.1715, 0, 0, 0, 0
3.43788, 270, 265, 12.1715, 0, 0, 0, 0
3.472, 270, 265, 12.1715, 0, 0, 0, 0
3.50657, 270, 265, 13.2406, 0, 0, 0, 0
3.53931, 270, 265, 13.2406, 0, 0, 0, 0
3.57852, 270, 265, 13.2406, 0, 0, 0, 0
3.60503, 270, 265, 13.2406, 0, 0, 0, 0
3.64008, 270, 265, 13.4958, 0, 0, 0, 0
3.675, 270, 266, 12.1715, 0, 0, 0, 0
3.70342, 270, 265, 13.2406, 0, 0, 0, 0
3.73344, 270, 265, 13.4958, 0, 0, 0, 0
3.77123, 270, 266, 13.2406, 0, 0, 0, 0
3.80288, 270, 266, 13.4958, 0, 0, 0, 0
3.83401, 270, 266, 13.2406, 0, 0, 0, 0
3.87682, 270, 266, 13.2406, 0, 0, 0, 0
3.90986, 270, 266, 13.2406, 0, 0, 0, 0
3.93737, 270, 266, 13.2406, 0, 0, 0, 0
