Time[s], x[px], y[px], phi[deg], delta_left, delta_right, omega_left, omega_right, rule_number, desired_course, course_error
0.0339859, 579, 266, 0, 6.28, 6.28, 12.56, 12.56, 0, 0, 0, 
0.065419, 521, 239, 157.15, 6.28, 6.28, 12.56, 12.56, 0, 174.806, -17.656, 
0.0993477, 580, 266, 157.15, 6.28, 6.28, 12.56, 12.56, 0, 174.806, -17.656, 
0.132372, 580, 267, 157.15, 6.28, 6.28, 12.56, 12.56, 3, 174.806, -17.656, 
0.166473, 580, 266, 157.15, 6.28, 6.28, 12.56, 12.56, 3, 174.806, -17.656, 
0.204349, 580, 266, 157.15, 6.28, 6.28, 12.56, 12.56, 3, 174.806, -17.656, 
0.230942, 579, 265, 174.534, 6.28, 6.28, 12.56, 12.56, 3, -175.21, -349.744, 
0.2651, 580, 266, 174.534, 6.28, 6.28, 12.56, 12.56, 3, -175.21, -349.744, 
0.300705, 580, 266, 174.534, 6.28, 6.28, 12.56, 12.56, 3, -175.21, -349.744, 
0.33397, 580, 266, 174.534, 6.28, 6.28, 12.56, 12.56, 3, -175.21, -349.744, 
0.363866, 579, 265, 174.612, 6.28, 6.28, 12.56, 12.56, 3, -175.21, -349.821, 
0.398852, 580, 266, 174.612, 6.28, 6.28, 12.56, 12.56, 3, -175.21, -349.821, 
0.432079, 580, 266, 174.612, 6.28, 6.28, 12.56, 12.56, 2, -175.21, -349.821, 
0.464666, 580, 266, 174.612, 6.28, 6.28, 12.56, 12.56, 2, -175.21, -349.821, 
0.506333, 580, 267, 174.612, 12, 14, 25, 30, 2, -175.21, -349.821, 
0.533308, 579, 266, 175.577, 12, 14, 25, 30, 2, -174.892, -350.469, 
0.569321, 580, 266, 175.577, 12, 14, 25, 30, 2, -174.892, -350.469, 
0.603867, 579, 266, 174.707, 12, 14, 25, 30, 2, -174.892, -349.599, 
0.638054, 581, 266, 174.707, 12, 14, 25, 30, 2, -174.892, -349.599, 
0.666165, 580, 266, 174.62, 12, 14, 25, 30, 2, -174.92, -349.541, 
0.700561, 582, 266, 174.62, 12, 14, 25, 30, 2, -174.92, -349.541, 
0.735358, 582, 266, 174.62, 12, 14, 25, 30, 2, -174.92, -349.541, 
0.77249, 581, 266, 174.62, 12, 14, 25, 30, 2, -174.92, -349.541, 
0.800346, 582, 266, 174.62, 12, 14, 25, 30, 2, -174.92, -349.541, 
0.830995, 581, 266, 174.709, 12, 14, 25, 30, 2, -174.948, -349.657, 
0.867812, 582, 267, 174.709, 12, 14, 25, 30, 2, -174.948, -349.657, 
0.903161, 582, 266, 174.709, 12, 14, 25, 30, 2, -174.948, -349.657, 
0.937275, 582, 267, 174.709, 12, 0, 25, 12, 2, -174.948, -349.657, 
0.966219, 581, 266, 175.596, 12, 0, 25, 12, 2, -174.948, -350.544, 
0.999171, 582, 266, 175.596, 12, 0, 25, 12, 2, -174.948, -350.544, 
1.03344, 582, 266, 175.596, 12, 0, 25, 12, 2, -174.948, -350.544, 
1.0727, 583, 266, 175.596, 12, 0, 25, 12, 2, -174.948, -350.544, 
1.10539, 583, 266, 175.596, 12, 0, 25, 12, 2, -174.948, -350.544, 
1.13276, 582, 266, 175.658, 12, 0, 25, 12, 2, -174.976, -350.634, 
1.17017, 582, 266, 175.658, 12, 0, 25, 12, 2, -174.976, -350.634, 
1.20304, 583, 266, 175.658, 12, 0, 25, 12, 2, -174.976, -350.634, 
1.2374, 583, 266, 175.658, 12, 0, 25, 12, 2, -174.976, -350.634, 
1.26542, 583, 266, 175.658, 12, 0, 25, 12, 2, -174.976, -350.634, 
1.30042, 582, 266, 174.525, 12, 0, 25, 12, 2, -174.976, -349.501, 
1.335, 584, 266, 174.525, 12, 0, 25, 12, 2, -174.976, -349.501, 
1.36872, 584, 266, 174.525, 12, 0, 25, 12, 2, -174.976, -349.501, 
1.4001, 583, 266, 174.525, 12, 0, 25, 12, 2, -174.976, -349.501, 
1.43209, 583, 266, 174.525, 12, 0, 25, 12, 2, -174.976, -349.501, 
1.46471, 583, 266, 174.619, 12, 0, 25, 12, 2, -175.003, -349.622, 
1.49961, 584, 266, 174.619, 12, 0, 25, 12, 2, -175.003, -349.622, 
1.53173, 584, 266, 174.619, 12, 0, 25, 12, 2, -175.003, -349.622, 
1.56341, 584, 265, 174.619, 12, 0, 25, 12, 2, -175.003, -349.622, 
1.59888, 583, 265, 174.717, 12, 0, 25, 12, 2, -175.314, -350.031, 
1.63193, 584, 266, 174.717, 12, 0, 25, 12, 2, -175.314, -350.031, 
1.66583, 584, 266, 174.717, 12, 0, 25, 12, 2, -175.314, -350.031, 
1.70479, 584, 266, 174.717, 12, 0, 25, 12, 2, -175.314, -350.031, 
1.73259, 584, 265, 174.717, 12, 0, 25, 12, 2, -175.314, -350.031, 
1.76814, 583, 265, 174.612, 12, 0, 25, 12, 2, -175.314, -349.926, 
1.79951, 585, 266, 174.612, 12, 0, 25, 12, 2, -175.314, -349.926, 
1.83258, 584, 265, 174.7, 12, 0, 25, 12, 2, -175.339, -350.04, 
1.86429, 585, 266, 174.7, 12, 0, 25, 12, 2, -175.339, -350.04, 
