Time[s], x[px], y[px], phi[deg], delta_left, delta_right, omega_left, omega_right, rule_number, desired_course, course_error
0.0238553, 58, 246, 0, 0, 0, 0, 0, 0, 0, 0, 
0.0563499, 58, 245, 0, 0, 0, 0, 0, 0, 0, 0, 
0.0930113, 58, 246, 0, 0, 0, 0, 0, 0, 29.0546, -29.0546, 
0.129461, 52, 221, 5.92375, 0, 0, 0, 0, 0, 29.0546, -29.0546, 
0.163572, 58, 245, 5.92375, 0, 0, 0, 0, 0, 29.0546, -29.0546, 
0.192361, 58, 246, 5.92375, 0, 0, 0, 0, 2, 4.16745, 1.7563, 
0.223562, 58, 245, 5.92375, 0, 0, 0, 0, 2, 4.16745, 1.7563, 
0.256575, 58, 245, 5.92375, 0, 0, 0, 0, 2, 4.16745, 1.7563, 
0.294194, 58, 246, 5.92375, 0, 0, 0, 0, 2, 4.16745, 1.7563, 
0.330325, 58, 245, 5.92375, 0, 0, 0, 0, 2, 4.16745, 1.7563, 
0.359483, 57, 244, 8.88708, 0, 0, 0, 0, 2, 0.874677, 8.01241, 
0.39154, 58, 245, 8.88708, 0, 0, 0, 0, 2, 0.874677, 8.01241, 
0.424515, 58, 245, 8.88708, 0, 0, 0, 0, 3, 0.874677, 8.01241, 
0.455224, 58, 243, 8.88708, 0, 0, 0, 0, 3, 0.874677, 8.01241, 
0.492392, 58, 245, 8.88708, 0, 0, 0, 0, 3, 0.874677, 8.01241, 
0.5269, 57, 244, 8.66379, 0, 0, 0, 0, 3, 0.874677, 7.78912, 
0.564906, 57, 245, 8.66379, 0, 0, 0, 0, 3, 0.874677, 7.78912, 
0.594906, 57, 244, 7.7665, 0, 0, 0, 0, 3, 0.874677, 6.89183, 
0.623578, 58, 245, 7.7665, 0, 0, 0, 0, 3, 0.874677, 6.89183, 
0.660545, 58, 245, 7.7665, 0, 0, 0, 0, 3, 0.874677, 6.89183, 
0.694277, 58, 245, 7.7665, 0, 0, 0, 0, 3, 0.874677, 6.89183, 
0.728967, 58, 245, 7.7665, 0, 0, 0, 0, 3, 0.874677, 6.89183, 
0.765134, 57, 244, 8.80448, 0, 0, 0, 0, 3, 0.874677, 7.9298, 
0.797232, 58, 245, 8.80448, 0, 0, 0, 0, 3, 0.874677, 7.9298, 
0.831739, 58, 245, 8.80448, 0, 0, 0, 0, 3, 0.874677, 7.9298, 
0.862668, 57, 245, 8.80448, 0, 0, 0, 0, 3, 0.874677, 7.9298, 
0.895506, 57, 245, 8.80448, 0, 0, 0, 0, 3, 0.874677, 7.9298, 
0.928828, 57, 244, 7.69155, 0, 0, 0, 0, 3, 0.874677, 6.81687, 
0.965348, 58, 245, 7.69155, 0, 0, 0, 0, 3, 0.874677, 6.81687, 
0.992069, 58, 245, 7.69155, 0, 0, 0, 0, 3, 0.874677, 6.81687, 
1.02879, 58, 245, 7.69155, 0, 0, 0, 0, 3, 0.874677, 6.81687, 
1.0582, 57, 244, 7.81517, 0, 0, 0, 0, 3, 0.874677, 6.94049, 
1.09252, 57, 245, 7.81517, 0, 0, 0, 0, 3, 0.874677, 6.94049, 
1.12661, 57, 245, 7.81517, 0, 0, 0, 0, 3, 0.874677, 6.94049, 
1.16252, 57, 245, 7.81517, 0, 0, 0, 0, 3, 0.874677, 6.94049, 
1.19663, 58, 245, 7.81517, 0, 0, 0, 0, 3, 0.874677, 6.94049, 
1.22337, 57, 244, 7.89907, 0, 0, 0, 0, 3, 0.874677, 7.02439, 
1.25878, 57, 245, 7.89907, 0, 0, 0, 0, 3, 0.874677, 7.02439, 
1.29433, 57, 245, 7.89907, 0, 0, 0, 0, 3, 0.874677, 7.02439, 
1.32868, 57, 245, 7.89907, 0, 0, 0, 0, 3, 0.874677, 7.02439, 
1.36423, 57, 245, 7.89907, 0, 0, 0, 0, 3, 0.874677, 7.02439, 
1.39429, 57, 244, 8.73769, 0, 0, 0, 0, 3, 0.874677, 7.86301, 
1.42542, 57, 244, 8.73769, 0, 0, 0, 0, 3, 0.874677, 7.86301, 
1.45965, 57, 244, 8.73769, 0, 0, 0, 0, 3, 0.874677, 7.86301, 
1.49508, 57, 245, 8.73769, 0, 0, 0, 0, 3, 0.874677, 7.86301, 
1.52377, 57, 244, 5.71084, 0, 0, 0, 0, 3, 0.874677, 4.83617, 
1.56602, 57, 244, 5.71084, 0, 0, 0, 0, 3, 0.874677, 4.83617, 
1.59268, 58, 244, 5.71084, 0, 0, 0, 0, 3, 0.874677, 4.83617, 
1.62849, 57, 244, 5.71084, 0, 0, 0, 0, 3, 0.874677, 4.83617, 
1.65768, 57, 243, 5.71084, 0, 0, 0, 0, 3, 0.874677, 4.83617, 
1.69165, 57, 243, 8.45951, 0, 0, 0, 0, 3, 1.02043, 7.43908, 
1.72612, 58, 244, 8.45951, 0, 0, 0, 0, 3, 1.02043, 7.43908, 
1.76204, 57, 245, 8.45951, 0, 0, 0, 0, 3, 1.02043, 7.43908, 
1.79618, 57, 245, 8.45951, 0, 0, 0, 0, 3, 1.02043, 7.43908, 
1.82345, 57, 244, 6.6033, 0, 0, 0, 0, 3, 0.874677, 5.72862, 
1.85623, 57, 245, 6.6033, 0, 0, 0, 0, 3, 0.874677, 5.72862, 
1.89461, 57, 245, 6.6033, 0, 0, 0, 0, 3, 0.874677, 5.72862, 
1.92749, 57, 245, 6.6033, 0, 0, 0, 0, 3, 0.874677, 5.72862, 
1.96337, 57, 244, 6.6033, 0, 0, 0, 0, 3, 0.874677, 5.72862, 
1.99143, 57, 244, 7.55853, 0, 0, 0, 0, 3, 0.874677, 6.68386, 
2.02778, 57, 244, 7.55853, 0, 0, 0, 0, 3, 0.874677, 6.68386, 
2.06105, 57, 244, 7.65598, 0, 0, 0, 0, 3, 0.874677, 6.7813, 
2.09612, 57, 244, 7.65598, 0, 0, 0, 0, 3, 0.874677, 6.7813, 
2.12324, 57, 244, 7.66572, 0, 0, 0, 0, 3, 0.874677, 6.79104, 
2.16162, 57, 245, 7.66572, 0, 0, 0, 0, 3, 0.874677, 6.79104, 
2.19386, 57, 244, 7.66572, 0, 0, 0, 0, 3, 0.874677, 6.79104, 
2.22869, 57, 244, 7.66572, 0, 0, 0, 0, 3, 0.874677, 6.79104, 
2.26297, 57, 244, 7.66572, 0, 0, 0, 0, 3, 0.874677, 6.79104, 
2.29098, 57, 244, 7.56916, 0, 0, 0, 0, 3, 0.874677, 6.69448, 
2.32561, 57, 244, 7.56916, 0, 0, 0, 0, 3, 0.874677, 6.69448, 
2.36375, 57, 244, 7.56916, 0, 0, 0, 0, 3, 0.874677, 6.69448, 
2.39592, 57, 244, 7.56916, 0, 0, 0, 0, 3, 0.874677, 6.69448, 
2.42238, 57, 244, 7.66671, 0, 0, 0, 0, 3, 0.874677, 6.79203, 
2.45856, 57, 244, 7.66671, 0, 0, 0, 0, 3, 0.874677, 6.79203, 
2.49472, 57, 245, 7.66671, 0, 0, 0, 0, 3, 0.874677, 6.79203, 
2.52776, 57, 244, 7.66671, 0, 0, 0, 0, 3, 0.874677, 6.79203, 
2.56385, 57, 244, 7.66671, 0, 0, 0, 0, 3, 0.874677, 6.79203, 
2.59059, 57, 244, 8.63823, 0, 0, 0, 0, 3, 0.874677, 7.76355, 
2.62608, 57, 244, 8.63823, 0, 0, 0, 0, 3, 0.874677, 7.76355, 
2.66009, 57, 243, 8.63823, 0, 0, 0, 0, 3, 0.874677, 7.76355, 
2.69038, 57, 245, 8.63823, 0, 0, 0, 0, 3, 0.874677, 7.76355, 
2.7217, 57, 244, 6.70112, 0, 0, 0, 0, 3, 0.874677, 5.82644, 
2.75861, 57, 245, 6.70112, 0, 0, 0, 0, 3, 0.874677, 5.82644, 
2.79343, 57, 243, 6.70112, 0, 0, 0, 0, 3, 0.874677, 5.82644, 
2.82778, 57, 244, 6.70112, 0, 0, 0, 0, 3, 0.874677, 5.82644, 
2.8553, 57, 244, 6.70112, 0, 0, 0, 0, 3, 0.874677, 5.82644, 
2.891, 57, 244, 6.58314, 0, 0, 0, 0, 3, 0.874677, 5.70846, 
2.92569, 57, 244, 6.58314, 0, 0, 0, 0, 3, 0.874677, 5.70846, 
2.96173, 57, 244, 5.60141, 0, 0, 0, 0, 3, 0.874677, 4.72673, 
2.99558, 57, 244, 5.60141, 0, 0, 0, 0, 3, 0.874677, 4.72673, 
3.02216, 57, 244, 8.43169, 0, 0, 0, 0, 3, 0.874677, 7.55701, 
3.05629, 57, 244, 8.43169, 0, 0, 0, 0, 3, 0.874677, 7.55701, 
3.09359, 57, 243, 8.43169, 0, 0, 0, 0, 3, 0.874677, 7.55701, 
3.12765, 57, 244, 8.43169, 0, 0, 0, 0, 3, 0.874677, 7.55701, 
3.16238, 57, 244, 8.43169, 0, 0, 0, 0, 3, 0.874677, 7.55701, 
3.19003, 57, 244, 5.52172, 0, 0, 0, 0, 3, 0.874677, 4.64704, 
3.22529, 57, 244, 5.52172, 0, 0, 0, 0, 3, 0.874677, 4.64704, 
3.25979, 57, 244, 5.52172, 0, 0, 0, 0, 3, 0.874677, 4.64704, 
3.28957, 57, 244, 5.52172, 0, 0, 0, 0, 3, 0.874677, 4.64704, 
3.32112, 57, 244, 5.49235, 0, 0, 0, 0, 3, 0.874677, 4.61768, 
3.35781, 56, 244, 5.49235, 0, 0, 0, 0, 3, 0.874677, 4.61768, 
3.39337, 57, 244, 5.49235, 0, 0, 0, 0, 3, 0.874677, 4.61768, 
3.42762, 56, 244, 5.49235, 0, 0, 0, 0, 3, 0.874677, 4.61768, 
3.45383, 57, 243, 5.49235, 0, 0, 0, 0, 3, 0.874677, 4.61768, 
3.48906, 56, 243, 7.44009, 0, 0, 0, 0, 3, 1.01784, 6.42225, 
3.52215, 56, 243, 7.44009, 0, 0, 0, 0, 3, 1.01784, 6.42225, 
3.55907, 56, 243, 7.51545, 0, 0, 0, 0, 3, 1.01784, 6.49761, 
3.58973, 57, 244, 7.51545, 0, 0, 0, 0, 3, 1.01784, 6.49761, 
3.62162, 56, 243, 6.67529, 0, 0, 0, 0, 3, 1.01784, 5.65746, 
3.65538, 57, 244, 6.67529, 0, 0, 0, 0, 3, 1.01784, 5.65746, 
3.69351, 56, 244, 6.67529, 0, 0, 0, 0, 3, 1.01784, 5.65746, 
3.72812, 56, 244, 6.67529, 0, 0, 0, 0, 3, 1.01784, 5.65746, 
3.76423, 57, 244, 6.67529, 0, 0, 0, 0, 3, 1.01784, 5.65746, 
3.79082, 56, 243, 6.58288, 0, 0, 0, 0, 3, 1.01784, 5.56504, 
3.82453, 56, 244, 6.58288, 0, 0, 0, 0, 3, 1.01784, 5.56504, 
3.86008, 56, 244, 6.58288, 0, 0, 0, 0, 3, 1.01784, 5.56504, 
3.89584, 56, 244, 6.58288, 0, 0, 0, 0, 3, 1.01784, 5.56504, 
3.92183, 56, 243, 5.39051, 0, 0, 0, 0, 3, 1.01784, 4.37267, 
3.95869, 57, 244, 5.39051, 0, 0, 0, 0, 3, 1.01784, 4.37267, 
3.98919, 57, 244, 5.39051, 0, 0, 0, 0, 3, 1.01784, 4.37267, 
4.02148, 56, 244, 5.39051, 0, 0, 0, 0, 3, 1.01784, 4.37267, 
4.05287, 56, 244, 5.39051, 0, 0, 0, 0, 3, 1.01784, 4.37267, 
4.08974, 56, 243, 5.30017, 0, 0, 0, 0, 3, 1.01784, 4.28233, 
4.12493, 57, 244, 5.30017, 0, 0, 0, 0, 3, 1.01784, 4.28233, 
4.16141, 56, 244, 5.30017, 0, 0, 0, 0, 3, 1.01784, 4.28233, 
4.1956, 56, 243, 5.30017, 0, 0, 0, 0, 3, 1.01784, 4.28233, 
4.22439, 56, 244, 5.30017, 0, 0, 0, 0, 3, 1.01784, 4.28233, 
4.25573, 56, 243, 5.49576, 0, 0, 0, 0, 3, 1.01784, 4.47792, 
4.29238, 56, 244, 5.49576, 0, 0, 0, 0, 3, 1.01784, 4.47792, 
4.32521, 56, 243, 5.49576, 0, 0, 0, 0, 3, 1.01784, 4.47792, 
4.36229, 56, 244, 5.49576, 0, 0, 0, 0, 3, 1.01784, 4.47792, 
4.38849, 56, 244, 5.49576, 0, 0, 0, 0, 3, 1.01784, 4.47792, 
4.42168, 56, 243, 5.48663, 0, 0, 0, 0, 3, 1.01784, 4.46879, 
4.4546, 56, 243, 5.48663, 0, 0, 0, 0, 3, 1.01784, 4.46879, 
4.4949, 56, 244, 5.48663, 0, 0, 0, 0, 3, 1.01784, 4.46879, 
4.52144, 56, 243, 5.48663, 0, 0, 0, 0, 3, 1.01784, 4.46879, 
4.55818, 56, 243, 5.59908, 0, 0, 0, 0, 3, 1.01784, 4.58124, 
4.58872, 56, 243, 5.59908, 0, 0, 0, 0, 3, 1.01784, 4.58124, 
4.62119, 56, 243, 5.59908, 0, 0, 0, 0, 3, 1.01784, 4.58124, 
4.6526, 56, 243, 5.59908, 0, 0, 0, 0, 3, 1.01784, 4.58124, 
4.69193, 56, 243, 5.59908, 0, 0, 0, 0, 3, 1.01784, 4.58124, 
4.72344, 56, 243, 6.56103, 0, 0, 0, 0, 3, 1.01784, 5.5432, 
4.76005, 56, 243, 6.56103, 0, 0, 0, 0, 3, 1.01784, 5.5432, 
4.78861, 56, 243, 6.57985, 0, 0, 0, 0, 3, 1.01784, 5.56202, 
4.8204, 56, 243, 6.57985, 0, 0, 0, 0, 3, 1.01784, 5.56202, 
4.8533, 56, 243, 5.50837, 0, 0, 0, 0, 3, 1.01784, 4.49053, 
4.89092, 56, 243, 5.50837, 0, 0, 0, 0, 3, 1.01784, 4.49053, 
4.92523, 56, 243, 5.50837, 0, 0, 0, 0, 3, 1.01784, 4.49053, 
4.96175, 56, 243, 5.50837, 0, 0, 0, 0, 3, 1.01784, 4.49053, 
4.9887, 56, 242, 5.50837, 0, 0, 0, 0, 3, 1.01784, 4.49053, 
5.02109, 56, 242, 7.44952, 0, 0, 0, 0, 3, 1.16321, 6.28631, 
5.05424, 56, 243, 7.44952, 0, 0, 0, 0, 3, 1.16321, 6.28631, 
5.09495, 56, 242, 7.44952, 0, 0, 0, 0, 3, 1.16321, 6.28631, 
5.1219, 56, 243, 7.44952, 0, 0, 0, 0, 3, 1.16321, 6.28631, 
5.16142, 56, 242, 6.56963, 0, 0, 0, 0, 3, 1.16321, 5.40643, 
5.18855, 56, 243, 6.56963, 0, 0, 0, 0, 3, 1.16321, 5.40643, 
5.22122, 56, 243, 6.56963, 0, 0, 0, 0, 3, 1.16321, 5.40643, 
5.25278, 56, 243, 6.56963, 0, 0, 0, 0, 3, 1.16321, 5.40643, 
5.29578, 56, 243, 6.56963, 0, 0, 0, 0, 3, 1.16321, 5.40643, 
5.3222, 56, 242, 6.58182, 0, 0, 0, 0, 3, 1.16321, 5.41862, 
5.35983, 57, 244, 6.58182, 0, 0, 0, 0, 3, 1.16321, 5.41862, 
5.38829, 56, 243, 4.69433, 0, 0, 0, 0, 3, 1.01784, 3.67649, 
5.42007, 56, 243, 4.69433, 0, 0, 0, 0, 3, 1.01784, 3.67649, 
5.45312, 56, 243, 6.28237, 0, 0, 0, 0, 3, 1.01784, 5.26453, 
5.4899, 57, 244, 6.28237, 0, 0, 0, 0, 3, 1.01784, 5.26453, 
5.52437, 56, 243, 6.28237, 0, 0, 0, 0, 3, 1.01784, 5.26453, 
5.56133, 56, 243, 6.28237, 0, 0, 0, 0, 3, 1.01784, 5.26453, 
5.59264, 56, 243, 6.28237, 0, 0, 0, 0, 3, 1.01784, 5.26453, 
